[11:32] Temp: 31.4°C, Humidity: 82.0%, Pressure: 977 hPa
[12:58] Temp: 31.0°C, Humidity: 83.0%, Pressure: 977 hPa
[12:59] Temp: 31.0°C, Humidity: 84.0%, Pressure: 977 hPa
[13:00] Temp: 31.0°C, Humidity: 84.0%, Pressure: 977 hPa
[13:01] Temp: 31.0°C, Humidity: 83.0%, Pressure: 977 hPa
[13:02] Temp: 31.0°C, Humidity: 84.0%, Pressure: 977 hPa
[13:03] Temp: 31.0°C, Humidity: 83.0%, Pressure: 977 hPa
[13:04] Temp: 31.0°C, Humidity: 83.0%, Pressure: 977 hPa
[13:05] Temp: 31.0°C, Humidity: 83.0%, Pressure: 977 hPa
[13:06] Temp: 31.0°C, Humidity: 83.0%, Pressure: 977 hPa
[13:07] Temp: 31.0°C, Humidity: 83.0%, Pressure: 977 hPa
[13:08] Temp: 31.0°C, Humidity: 83.0%, Pressure: 976 hPa
[13:09] Temp: 31.0°C, Humidity: 83.0%, Pressure: 976 hPa
[13:10] Temp: 31.1°C, Humidity: 83.0%, Pressure: 976 hPa
[13:11] Temp: 31.1°C, Humidity: 83.0%, Pressure: 976 hPa
[13:12] Temp: 31.1°C, Humidity: 83.0%, Pressure: 976 hPa
[13:13] Temp: 31.1°C, Humidity: 82.0%, Pressure: 976 hPa
[13:14] Temp: 31.1°C, Humidity: 82.0%, Pressure: 976 hPa
[13:15] Temp: 31.2°C, Humidity: 82.0%, Pressure: 976 hPa
[13:16] Temp: 31.2°C, Humidity: 82.0%, Pressure: 976 hPa
[13:17] Temp: 31.2°C, Humidity: 82.0%, Pressure: 976 hPa
[13:18] Temp: 31.2°C, Humidity: 80.0%, Pressure: 976 hPa
[13:19] Temp: 31.2°C, Humidity: 80.0%, Pressure: 976 hPa
[13:20] Temp: 31.2°C, Humidity: 80.0%, Pressure: 976 hPa
[13:21] Temp: 31.2°C, Humidity: 80.0%, Pressure: 976 hPa
[13:22] Temp: 31.3°C, Humidity: 80.0%, Pressure: 976 hPa
[13:23] Temp: 31.3°C, Humidity: 80.0%, Pressure: 976 hPa
[13:24] Temp: 31.3°C, Humidity: 80.0%, Pressure: 976 hPa
[13:25] Temp: 31.3°C, Humidity: 80.0%, Pressure: 976 hPa
[13:26] Temp: 31.3°C, Humidity: 80.0%, Pressure: 976 hPa
[13:27] Temp: 31.3°C, Humidity: 80.0%, Pressure: 976 hPa
[13:28] Temp: 31.4°C, Humidity: 80.0%, Pressure: 976 hPa
[13:29] Temp: 31.4°C, Humidity: 80.0%, Pressure: 976 hPa
[13:30] Temp: 31.4°C, Humidity: 80.0%, Pressure: 976 hPa
[13:31] Temp: 31.4°C, Humidity: 80.0%, Pressure: 976 hPa
[13:32] Temp: 31.4°C, Humidity: 80.0%, Pressure: 976 hPa
[13:33] Temp: 31.4°C, Humidity: 80.0%, Pressure: 976 hPa
[13:34] Temp: 31.4°C, Humidity: 80.0%, Pressure: 976 hPa
[13:35] Temp: 31.4°C, Humidity: 80.0%, Pressure: 976 hPa
[13:36] Temp: 31.4°C, Humidity: 80.0%, Pressure: 976 hPa
[13:37] Temp: 31.5°C, Humidity: 79.0%, Pressure: 976 hPa
[13:38] Temp: 31.5°C, Humidity: 79.0%, Pressure: 976 hPa
[13:39] Temp: 31.5°C, Humidity: 79.0%, Pressure: 976 hPa
[13:40] Temp: 31.4°C, Humidity: 79.0%, Pressure: 976 hPa
[13:41] Temp: 31.4°C, Humidity: 79.0%, Pressure: 976 hPa
[13:42] Temp: 31.4°C, Humidity: 79.0%, Pressure: 976 hPa
[13:43] Temp: 31.4°C, Humidity: 79.0%, Pressure: 976 hPa
[13:44] Temp: 31.4°C, Humidity: 79.0%, Pressure: 976 hPa
[13:45] Temp: 31.5°C, Humidity: 79.0%, Pressure: 976 hPa
[13:46] Temp: 31.4°C, Humidity: 79.0%, Pressure: 976 hPa
[13:47] Temp: 31.5°C, Humidity: 79.0%, Pressure: 976 hPa
[13:48] Temp: 31.5°C, Humidity: 79.0%, Pressure: 976 hPa
[13:49] Temp: 31.5°C, Humidity: 79.0%, Pressure: 976 hPa
[13:50] Temp: 31.5°C, Humidity: 79.0%, Pressure: 976 hPa
[13:51] Temp: 31.5°C, Humidity: 79.0%, Pressure: 976 hPa
[13:52] Temp: 31.6°C, Humidity: 80.0%, Pressure: 976 hPa
[13:53] Temp: 31.6°C, Humidity: 80.0%, Pressure: 976 hPa
[13:54] Temp: 31.6°C, Humidity: 80.0%, Pressure: 976 hPa
[13:55] Temp: 31.6°C, Humidity: 80.0%, Pressure: 976 hPa
[13:56] Temp: 31.6°C, Humidity: 80.0%, Pressure: 976 hPa
[13:57] Temp: 31.7°C, Humidity: 80.0%, Pressure: 976 hPa
[13:58] Temp: 31.7°C, Humidity: 80.0%, Pressure: 976 hPa
[13:59] Temp: 31.7°C, Humidity: 80.0%, Pressure: 976 hPa
[14:00] Temp: 31.8°C, Humidity: 80.0%, Pressure: 976 hPa
[14:01] Temp: 31.7°C, Humidity: 79.0%, Pressure: 976 hPa
[14:02] Temp: 31.8°C, Humidity: 79.0%, Pressure: 976 hPa
[14:03] Temp: 31.8°C, Humidity: 79.0%, Pressure: 976 hPa
[14:04] Temp: 31.8°C, Humidity: 79.0%, Pressure: 976 hPa
[14:05] Temp: 31.8°C, Humidity: 79.0%, Pressure: 976 hPa
[14:06] Temp: 31.8°C, Humidity: 79.0%, Pressure: 976 hPa
[14:07] Temp: 31.9°C, Humidity: 79.0%, Pressure: 976 hPa
[14:08] Temp: 31.9°C, Humidity: 79.0%, Pressure: 976 hPa
[14:09] Temp: 31.9°C, Humidity: 79.0%, Pressure: 976 hPa
[14:10] Temp: 31.9°C, Humidity: 78.0%, Pressure: 976 hPa
[14:11] Temp: 31.9°C, Humidity: 78.0%, Pressure: 976 hPa
[14:12] Temp: 31.9°C, Humidity: 78.0%, Pressure: 976 hPa
[14:13] Temp: 31.9°C, Humidity: 78.0%, Pressure: 976 hPa
[14:14] Temp: 31.9°C, Humidity: 78.0%, Pressure: 976 hPa
[14:15] Temp: 32.0°C, Humidity: 78.0%, Pressure: 976 hPa
[14:16] Temp: 32.0°C, Humidity: 78.0%, Pressure: 976 hPa
[14:17] Temp: 32.0°C, Humidity: 79.0%, Pressure: 976 hPa
[14:18] Temp: 32.0°C, Humidity: 78.0%, Pressure: 976 hPa
[14:19] Temp: 32.1°C, Humidity: 79.0%, Pressure: 976 hPa
[14:20] Temp: 32.1°C, Humidity: 79.0%, Pressure: 976 hPa
[14:21] Temp: 32.1°C, Humidity: 79.0%, Pressure: 976 hPa
[14:22] Temp: 32.1°C, Humidity: 78.0%, Pressure: 976 hPa
[14:23] Temp: 32.1°C, Humidity: 78.0%, Pressure: 976 hPa
[14:24] Temp: 32.1°C, Humidity: 78.0%, Pressure: 976 hPa
[14:25] Temp: 32.1°C, Humidity: 79.0%, Pressure: 976 hPa
[14:26] Temp: 32.1°C, Humidity: 78.0%, Pressure: 976 hPa
[14:27] Temp: 32.1°C, Humidity: 78.0%, Pressure: 975 hPa
[14:28] Temp: 32.1°C, Humidity: 78.0%, Pressure: 975 hPa
[14:29] Temp: 32.1°C, Humidity: 78.0%, Pressure: 975 hPa
[14:30] Temp: 32.1°C, Humidity: 77.0%, Pressure: 975 hPa
[14:31] Temp: 32.1°C, Humidity: 77.0%, Pressure: 975 hPa
[14:32] Temp: 32.1°C, Humidity: 77.0%, Pressure: 975 hPa
[14:33] Temp: 32.2°C, Humidity: 78.0%, Pressure: 975 hPa
[14:34] Temp: 32.1°C, Humidity: 77.0%, Pressure: 975 hPa
[14:35] Temp: 32.1°C, Humidity: 77.0%, Pressure: 975 hPa
[14:36] Temp: 32.2°C, Humidity: 77.0%, Pressure: 975 hPa
[14:37] Temp: 32.1°C, Humidity: 77.0%, Pressure: 975 hPa
[14:38] Temp: 32.1°C, Humidity: 76.0%, Pressure: 975 hPa
[14:39] Temp: 32.1°C, Humidity: 77.0%, Pressure: 975 hPa
[14:40] Temp: 32.1°C, Humidity: 77.0%, Pressure: 975 hPa
[14:41] Temp: 32.2°C, Humidity: 77.0%, Pressure: 975 hPa
[14:42] Temp: 32.2°C, Humidity: 77.0%, Pressure: 975 hPa
[14:43] Temp: 32.2°C, Humidity: 77.0%, Pressure: 975 hPa
[14:44] Temp: 32.2°C, Humidity: 76.0%, Pressure: 975 hPa
[14:45] Temp: 32.2°C, Humidity: 76.0%, Pressure: 975 hPa
[14:46] Temp: 32.2°C, Humidity: 76.0%, Pressure: 975 hPa
[14:47] Temp: 32.1°C, Humidity: 76.0%, Pressure: 975 hPa
[14:48] Temp: 32.2°C, Humidity: 76.0%, Pressure: 975 hPa
[14:49] Temp: 32.2°C, Humidity: 76.0%, Pressure: 975 hPa
[14:50] Temp: 32.2°C, Humidity: 76.0%, Pressure: 975 hPa
[14:51] Temp: 32.2°C, Humidity: 76.0%, Pressure: 975 hPa
[14:52] Temp: 32.2°C, Humidity: 77.0%, Pressure: 975 hPa
[14:53] Temp: 32.2°C, Humidity: 77.0%, Pressure: 975 hPa
[14:54] Temp: 32.3°C, Humidity: 77.0%, Pressure: 975 hPa
[14:55] Temp: 32.3°C, Humidity: 78.0%, Pressure: 975 hPa
[14:56] Temp: 32.3°C, Humidity: 78.0%, Pressure: 975 hPa
[14:57] Temp: 32.3°C, Humidity: 77.0%, Pressure: 975 hPa
[14:58] Temp: 32.3°C, Humidity: 77.0%, Pressure: 975 hPa
[14:59] Temp: 32.3°C, Humidity: 77.0%, Pressure: 975 hPa
[15:00] Temp: 32.4°C, Humidity: 77.0%, Pressure: 975 hPa
[15:01] Temp: 32.4°C, Humidity: 77.0%, Pressure: 975 hPa
[15:02] Temp: 32.4°C, Humidity: 76.0%, Pressure: 975 hPa
[15:03] Temp: 32.4°C, Humidity: 76.0%, Pressure: 975 hPa
[15:04] Temp: 32.4°C, Humidity: 76.0%, Pressure: 975 hPa
[15:05] Temp: 32.4°C, Humidity: 76.0%, Pressure: 975 hPa
[15:06] Temp: 32.4°C, Humidity: 76.0%, Pressure: 975 hPa
[15:07] Temp: 32.4°C, Humidity: 76.0%, Pressure: 975 hPa
[15:08] Temp: 32.4°C, Humidity: 76.0%, Pressure: 975 hPa
[15:09] Temp: 32.4°C, Humidity: 76.0%, Pressure: 975 hPa
[15:10] Temp: 32.4°C, Humidity: 75.0%, Pressure: 975 hPa [LOW HUMIDITY 🏜️]
[15:11] Temp: 32.5°C, Humidity: 76.0%, Pressure: 975 hPa
[15:12] Temp: 32.5°C, Humidity: 76.0%, Pressure: 975 hPa
[15:13] Temp: 32.5°C, Humidity: 76.0%, Pressure: 975 hPa
[15:14] Temp: 32.5°C, Humidity: 75.0%, Pressure: 975 hPa [LOW HUMIDITY 🏜️]
[15:15] Temp: 32.5°C, Humidity: 75.0%, Pressure: 975 hPa [LOW HUMIDITY 🏜️]
[15:16] Temp: 32.5°C, Humidity: 75.0%, Pressure: 975 hPa [LOW HUMIDITY 🏜️]
[15:17] Temp: 32.6°C, Humidity: 75.0%, Pressure: 975 hPa [LOW HUMIDITY 🏜️]
[15:18] Temp: 32.6°C, Humidity: 76.0%, Pressure: 975 hPa
[15:19] Temp: 32.6°C, Humidity: 76.0%, Pressure: 975 hPa
[15:20] Temp: 32.6°C, Humidity: 75.0%, Pressure: 975 hPa [HIGH TEMP 🔥, LOW HUMIDITY 🏜️]
[15:21] Temp: 32.6°C, Humidity: 75.0%, Pressure: 975 hPa [LOW HUMIDITY 🏜️]
[15:22] Temp: 32.6°C, Humidity: 75.0%, Pressure: 975 hPa [LOW HUMIDITY 🏜️]
[15:23] Temp: 32.6°C, Humidity: 75.0%, Pressure: 975 hPa [LOW HUMIDITY 🏜️]
[15:24] Temp: 32.6°C, Humidity: 75.0%, Pressure: 975 hPa [LOW HUMIDITY 🏜️]
[15:25] Temp: 32.6°C, Humidity: 75.0%, Pressure: 975 hPa [LOW HUMIDITY 🏜️]
[15:26] Temp: 32.6°C, Humidity: 75.0%, Pressure: 975 hPa [LOW HUMIDITY 🏜️]
[15:27] Temp: 32.6°C, Humidity: 75.0%, Pressure: 975 hPa [LOW HUMIDITY 🏜️]
[15:28] Temp: 32.6°C, Humidity: 75.0%, Pressure: 975 hPa [LOW HUMIDITY 🏜️]
[15:29] Temp: 32.6°C, Humidity: 75.0%, Pressure: 975 hPa [LOW HUMIDITY 🏜️]
[15:30] Temp: 32.6°C, Humidity: 75.0%, Pressure: 975 hPa [LOW HUMIDITY 🏜️]
[15:31] Temp: 32.6°C, Humidity: 76.0%, Pressure: 975 hPa
[15:32] Temp: 32.5°C, Humidity: 76.0%, Pressure: 975 hPa
[15:33] Temp: 32.5°C, Humidity: 76.0%, Pressure: 975 hPa
[15:34] Temp: 32.5°C, Humidity: 76.0%, Pressure: 975 hPa
[15:35] Temp: 32.5°C, Humidity: 76.0%, Pressure: 975 hPa
[15:36] Temp: 32.5°C, Humidity: 76.0%, Pressure: 975 hPa
[15:37] Temp: 32.6°C, Humidity: 76.0%, Pressure: 975 hPa
[15:38] Temp: 32.6°C, Humidity: 77.0%, Pressure: 975 hPa
[15:39] Temp: 32.5°C, Humidity: 77.0%, Pressure: 975 hPa
[15:40] Temp: 32.5°C, Humidity: 77.0%, Pressure: 975 hPa
[15:41] Temp: 32.5°C, Humidity: 77.0%, Pressure: 975 hPa
[15:42] Temp: 32.5°C, Humidity: 77.0%, Pressure: 975 hPa
[15:43] Temp: 32.5°C, Humidity: 77.0%, Pressure: 975 hPa
[15:44] Temp: 32.5°C, Humidity: 77.0%, Pressure: 975 hPa
[15:45] Temp: 32.5°C, Humidity: 77.0%, Pressure: 975 hPa
[15:46] Temp: 32.5°C, Humidity: 77.0%, Pressure: 975 hPa
[15:47] Temp: 32.5°C, Humidity: 77.0%, Pressure: 975 hPa
[15:48] Temp: 32.5°C, Humidity: 78.0%, Pressure: 975 hPa
[15:49] Temp: 32.5°C, Humidity: 78.0%, Pressure: 975 hPa
[15:50] Temp: 32.5°C, Humidity: 78.0%, Pressure: 975 hPa
[15:51] Temp: 32.5°C, Humidity: 78.0%, Pressure: 975 hPa
[15:52] Temp: 32.4°C, Humidity: 78.0%, Pressure: 975 hPa
[15:53] Temp: 32.4°C, Humidity: 78.0%, Pressure: 975 hPa
[15:54] Temp: 32.4°C, Humidity: 78.0%, Pressure: 975 hPa
[15:55] Temp: 32.4°C, Humidity: 78.0%, Pressure: 975 hPa
[15:56] Temp: 32.4°C, Humidity: 78.0%, Pressure: 975 hPa
[15:57] Temp: 32.4°C, Humidity: 78.0%, Pressure: 975 hPa
[15:58] Temp: 32.4°C, Humidity: 78.0%, Pressure: 975 hPa
[15:59] Temp: 32.4°C, Humidity: 78.0%, Pressure: 975 hPa
[16:00] Temp: 32.4°C, Humidity: 78.0%, Pressure: 975 hPa
[16:01] Temp: 32.4°C, Humidity: 78.0%, Pressure: 975 hPa
[16:02] Temp: 32.4°C, Humidity: 78.0%, Pressure: 975 hPa
[16:03] Temp: 32.4°C, Humidity: 78.0%, Pressure: 975 hPa
[16:04] Temp: 32.5°C, Humidity: 78.0%, Pressure: 975 hPa
[16:05] Temp: 32.4°C, Humidity: 78.0%, Pressure: 975 hPa
[16:06] Temp: 32.4°C, Humidity: 78.0%, Pressure: 975 hPa
[16:07] Temp: 32.4°C, Humidity: 78.0%, Pressure: 975 hPa
[16:08] Temp: 32.4°C, Humidity: 78.0%, Pressure: 975 hPa
[16:09] Temp: 32.4°C, Humidity: 78.0%, Pressure: 975 hPa
[16:10] Temp: 32.4°C, Humidity: 78.0%, Pressure: 975 hPa
[16:11] Temp: 32.4°C, Humidity: 78.0%, Pressure: 975 hPa
[16:12] Temp: 32.4°C, Humidity: 77.0%, Pressure: 975 hPa
[16:13] Temp: 32.4°C, Humidity: 77.0%, Pressure: 975 hPa
[16:14] Temp: 32.4°C, Humidity: 77.0%, Pressure: 975 hPa
[16:15] Temp: 32.4°C, Humidity: 77.0%, Pressure: 975 hPa
[16:16] Temp: 32.4°C, Humidity: 77.0%, Pressure: 975 hPa
[16:17] Temp: 32.3°C, Humidity: 78.0%, Pressure: 975 hPa
[16:18] Temp: 32.3°C, Humidity: 78.0%, Pressure: 975 hPa
[16:19] Temp: 32.3°C, Humidity: 78.0%, Pressure: 975 hPa
[16:20] Temp: 32.3°C, Humidity: 78.0%, Pressure: 975 hPa
[16:21] Temp: 32.2°C, Humidity: 78.0%, Pressure: 975 hPa
[16:22] Temp: 32.2°C, Humidity: 78.0%, Pressure: 975 hPa
[16:23] Temp: 32.2°C, Humidity: 78.0%, Pressure: 975 hPa
[16:24] Temp: 32.1°C, Humidity: 79.0%, Pressure: 975 hPa
[16:25] Temp: 32.1°C, Humidity: 79.0%, Pressure: 975 hPa
[16:26] Temp: 32.1°C, Humidity: 79.0%, Pressure: 975 hPa
[16:27] Temp: 32.1°C, Humidity: 79.0%, Pressure: 975 hPa
[16:28] Temp: 32.0°C, Humidity: 79.0%, Pressure: 975 hPa
[16:29] Temp: 32.0°C, Humidity: 79.0%, Pressure: 975 hPa
[16:30] Temp: 32.0°C, Humidity: 79.0%, Pressure: 975 hPa
[16:31] Temp: 31.9°C, Humidity: 79.0%, Pressure: 975 hPa
[16:32] Temp: 31.9°C, Humidity: 79.0%, Pressure: 975 hPa
[16:33] Temp: 31.9°C, Humidity: 79.0%, Pressure: 975 hPa
[16:34] Temp: 31.9°C, Humidity: 79.0%, Pressure: 975 hPa
[16:35] Temp: 31.9°C, Humidity: 79.0%, Pressure: 975 hPa
[16:36] Temp: 31.8°C, Humidity: 79.0%, Pressure: 975 hPa
[16:37] Temp: 31.8°C, Humidity: 79.0%, Pressure: 975 hPa
[16:38] Temp: 31.8°C, Humidity: 79.0%, Pressure: 975 hPa
[16:39] Temp: 31.8°C, Humidity: 79.0%, Pressure: 975 hPa
[16:40] Temp: 31.8°C, Humidity: 79.0%, Pressure: 975 hPa
[16:41] Temp: 31.8°C, Humidity: 79.0%, Pressure: 975 hPa
[16:42] Temp: 31.8°C, Humidity: 79.0%, Pressure: 975 hPa
[16:43] Temp: 31.8°C, Humidity: 79.0%, Pressure: 975 hPa
[16:44] Temp: 31.8°C, Humidity: 79.0%, Pressure: 975 hPa
[16:45] Temp: 31.8°C, Humidity: 79.0%, Pressure: 975 hPa
[16:46] Temp: 31.8°C, Humidity: 79.0%, Pressure: 975 hPa
[16:47] Temp: 31.8°C, Humidity: 79.0%, Pressure: 975 hPa
[16:48] Temp: 31.8°C, Humidity: 79.0%, Pressure: 975 hPa
[16:49] Temp: 31.8°C, Humidity: 79.0%, Pressure: 975 hPa
[16:50] Temp: 31.7°C, Humidity: 79.0%, Pressure: 975 hPa
[16:51] Temp: 31.7°C, Humidity: 80.0%, Pressure: 975 hPa
[16:52] Temp: 31.8°C, Humidity: 80.0%, Pressure: 975 hPa
[16:53] Temp: 31.8°C, Humidity: 80.0%, Pressure: 975 hPa
[16:54] Temp: 31.7°C, Humidity: 80.0%, Pressure: 975 hPa
[16:55] Temp: 31.7°C, Humidity: 80.0%, Pressure: 975 hPa
[16:56] Temp: 31.7°C, Humidity: 81.0%, Pressure: 975 hPa
[16:57] Temp: 31.7°C, Humidity: 81.0%, Pressure: 975 hPa
[16:58] Temp: 31.7°C, Humidity: 80.0%, Pressure: 975 hPa
[16:59] Temp: 31.7°C, Humidity: 81.0%, Pressure: 975 hPa
[17:00] Temp: 31.7°C, Humidity: 81.0%, Pressure: 975 hPa
[17:01] Temp: 31.6°C, Humidity: 81.0%, Pressure: 975 hPa
[17:02] Temp: 31.6°C, Humidity: 81.0%, Pressure: 975 hPa
[17:03] Temp: 31.6°C, Humidity: 81.0%, Pressure: 975 hPa
[17:04] Temp: 31.6°C, Humidity: 80.0%, Pressure: 975 hPa
[17:05] Temp: 31.6°C, Humidity: 80.0%, Pressure: 975 hPa
[17:06] Temp: 31.6°C, Humidity: 81.0%, Pressure: 975 hPa
[17:07] Temp: 31.6°C, Humidity: 81.0%, Pressure: 975 hPa
[17:08] Temp: 31.6°C, Humidity: 81.0%, Pressure: 975 hPa
[17:09] Temp: 31.6°C, Humidity: 81.0%, Pressure: 975 hPa
[17:10] Temp: 31.6°C, Humidity: 81.0%, Pressure: 975 hPa
[17:11] Temp: 31.6°C, Humidity: 81.0%, Pressure: 975 hPa
[17:12] Temp: 31.6°C, Humidity: 81.0%, Pressure: 975 hPa
[17:13] Temp: 31.6°C, Humidity: 81.0%, Pressure: 975 hPa
[17:14] Temp: 31.5°C, Humidity: 81.0%, Pressure: 975 hPa
[17:15] Temp: 31.5°C, Humidity: 81.0%, Pressure: 975 hPa
[17:16] Temp: 31.5°C, Humidity: 81.0%, Pressure: 975 hPa
[17:17] Temp: 31.5°C, Humidity: 81.0%, Pressure: 975 hPa
[17:18] Temp: 31.5°C, Humidity: 81.0%, Pressure: 975 hPa
[17:19] Temp: 31.5°C, Humidity: 81.0%, Pressure: 975 hPa
[17:20] Temp: 31.6°C, Humidity: 81.0%, Pressure: 975 hPa
[17:21] Temp: 31.5°C, Humidity: 81.0%, Pressure: 975 hPa
[17:22] Temp: 31.5°C, Humidity: 81.0%, Pressure: 975 hPa
[17:23] Temp: 31.5°C, Humidity: 81.0%, Pressure: 975 hPa
[17:24] Temp: 31.5°C, Humidity: 82.0%, Pressure: 975 hPa
[17:25] Temp: 31.5°C, Humidity: 82.0%, Pressure: 975 hPa
[17:26] Temp: 31.5°C, Humidity: 82.0%, Pressure: 975 hPa
[17:27] Temp: 31.5°C, Humidity: 82.0%, Pressure: 975 hPa
[17:28] Temp: 31.6°C, Humidity: 82.0%, Pressure: 975 hPa
[17:29] Temp: 31.6°C, Humidity: 82.0%, Pressure: 975 hPa
[17:30] Temp: 31.6°C, Humidity: 82.0%, Pressure: 975 hPa
[17:31] Temp: 31.6°C, Humidity: 82.0%, Pressure: 975 hPa
[17:32] Temp: 31.5°C, Humidity: 82.0%, Pressure: 975 hPa
[17:33] Temp: 31.5°C, Humidity: 82.0%, Pressure: 975 hPa
[17:34] Temp: 31.5°C, Humidity: 83.0%, Pressure: 975 hPa
[17:35] Temp: 31.5°C, Humidity: 83.0%, Pressure: 975 hPa
[17:36] Temp: 31.5°C, Humidity: 83.0%, Pressure: 976 hPa
[17:37] Temp: 31.5°C, Humidity: 83.0%, Pressure: 975 hPa
[17:38] Temp: 31.6°C, Humidity: 83.0%, Pressure: 976 hPa
[17:39] Temp: 31.5°C, Humidity: 83.0%, Pressure: 976 hPa
[17:40] Temp: 31.5°C, Humidity: 83.0%, Pressure: 976 hPa
[17:41] Temp: 31.5°C, Humidity: 82.0%, Pressure: 976 hPa
[17:42] Temp: 31.5°C, Humidity: 82.0%, Pressure: 976 hPa
